RegionID,SizeRank,RegionName,RegionType,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
395210,261,"Waterloo, IA",msa,IA,162633,165433,164100,164267,164933,171600,176600,178467,175167,168333,164233,160867,159333,154900,151500,153200,156067,156150,153650,151650,150750,149750,145550,144767,144900,151433,159767,168100,174900,178233,179900,182267,183133,184833,182333,181333,179633,182367,188867,195533,204617,209917,209917,201567,198267,200383,207050,215350,219933,223267,226600,234933,241600,244633,242633,241667,233633,229117,225117,223450,219967
394480,262,"Coeur d'Alene, ID",msa,ID,422800,422833,424917,425417,425417,431633,441633,449933,453133,461467,474833,497522,,540522,539667,533333,553333,578300,591450,590617,580650,575833,581333,599667,621317,629983,654317,664150,688817,674483,667833,644833,635500,619000,608666,599333,593917,593917,602583,621333,638333,650817,654150,654117,649633,642933,636300,628300,618300,616633,620458,634818,645985,658810,664150,667650,669333,681333,690000,691667,677452
394553,263,"East Stroudsburg, PA",msa,PA,184817,184817,186633,189933,194233,197600,202600,206967,211967,216623,221290,226290,231667,,256667,263000,263000,264333,269633,272936,276269,276302,276362,276695,281695,289667,296300,302933,312417,320783,325817,326333,326333,326300,324933,324900,321600,318300,318300,324967,333267,339967,344633,347933,349267,347933,344667,343333,341333,341000,339000,339000,339167,342500,344500,347667,347967,349600,349600,349300,345967
395007,264,"Pueblo, CO",msa,CO,230817,232300,234933,239900,246567,251600,254933,261600,264933,264933,261600,256567,254517,259517,267883,274267,272633,282633,291633,301450,303083,303117,304950,302317,307283,311467,317433,321800,326383,336383,345383,351633,353333,354967,354933,349900,341567,337933,337950,342950,346283,349600,349300,349600,347117,342450,338817,336333,336000,338000,342967,350800,355133,359167,356667,354000,348333,346633,343967,341967,338633
394392,265,"Blacksburg, VA",msa,VA,219050,220783,227367,228183,229267,233200,241533,250867,248883,245250,,,211983,218833,232983,249483,257800,269650,269817,273317,269967,261450,251433,242783,246275,255292,267458,274050,293400,301533,301600,286567,276417,273083,273116,275433,278133,277467,281963,296613,312696,316033,316200,314117,318482,310965,304265,299933,296300,289483,289150,296150,309500,318167,323167,322500,315833,307467,297633,287633,280817
395215,266,"Wausau, WI",msa,WI,195100,191767,191225,194258,197592,202933,204900,204900,198233,191600,186583,183250,181550,179900,181600,184933,194933,202100,208767,205433,203233,202600,201283,197950,195250,201583,213267,228283,239933,248250,249900,246417,242517,235850,232700,231617,236617,243283,245933,245933,245900,251567,258963,262297,258997,256600,253267,253267,256633,267500,277498,280784,279951,280619,280500,280467,279100,277267,270600,261300,251633
394731,267,"Kahului, HI",msa,HI,878333,881667,866333,854500,829167,809000,792317,775650,762817,754667,767833,784167,795500,799000,799000,813333,840000,872000,924333,957833,991500,988500,1013000,1051000,1112667,1145000,1166500,1191500,1224833,1250000,1240000,1255000,1271667,1296667,1290000,1288333,1273333,1281167,1288667,1305333,1305833,1290000,1306667,1323333,1345667,1324333,1307333,1326667,1363000,1395667,1380667,1375667,1338333,1305000,1245000,1208333,1174667,1141333,1123000,1123333,1140000
394720,268,"Janesville, WI",msa,WI,195800,194967,194967,198300,206400,212867,217833,213717,210583,205583,203250,199917,197283,197267,203967,213300,218333,211667,207667,205967,210967,214933,216633,216433,208283,208267,210100,218250,225600,232267,237267,238233,238267,239783,236483,238817,242000,247000,244333,246333,252967,262967,264600,264600,266567,268417,263117,251467,241950,238950,242283,254950,264917,273267,271600,269933,271100,271800,271833,268967,269967
395170,269,"Tupelo, MS",msa,MS,185717,185050,186717,187050,189967,192250,194917,196583,195983,195983,200733,205500,205100,201683,196933,196333,193000,191167,189467,189467,189133,192500,199316,206483,206450,205867,207517,215883,221650,223817,222150,220150,219483,216300,214967,215133,218317,221483,223133,219800,218267,216383,219717,216417,216567,218200,221500,224933,226633,233000,236300,242933,246600,249633,248000,245500,243733,245150,247967,250033,250267
394393,270,"Bloomington, IN",msa,IN,244300,247633,254300,261633,268200,269833,272700,276133,281167,280000,276633,268267,263267,268300,271633,271616,264933,259966,258317,253300,251600,249900,249900,246583,246617,251633,261617,277950,285967,292633,292933,296567,299900,298267,291633,282500,272483,272467,281600,296592,313242,327425,342450,349050,351533,342867,332933,323633,324117,334117,343417,354900,357933,357967,351333,344967,338300,329633,323000,318299,318599
